Stage;Max_abnormal(2nd loop);Min_abnormal(52nd loop);Abnormal(5th loop);Abnormal(36th loop);Time_Difference(Max-Min)
RestoreOS: Restore: cleanup_send_final_status;0.0587;0.0589;0.0586;0.0589;-0.0002
RestoreOS: Restore: cleanup_wait_status_received;0.0107;0.0107;0.0107;0.0108;0.0
RestoreOS: Restore: cleanup_write_restore_log;0.0068;0.0068;0.0068;0.0068;0.0
RestoreOS: Restore: cleanup_failure_warning;0.0068;0.0067;0.0066;0.0067;0.0001
RestoreOS: Restore: cleanup_post_restore;0.0077;0.0076;0.0076;0.0077;0.0001
RestoreOS: Restore: cleanup_release;0.0066;0.0066;0.0065;0.0065;0.0
RestoreOS: Restore: [ASYNC Task]  provision_mesa ;0.0138;0.0138;0.0138;0.0138;0.0
RestoreOS: Restore: [ASYNC Task]  restore_system_image ;1272.6788;1266.9385;1272.5427;1272.7325;5.7403
RestoreOS: Restore: [ASYNC Task]  update_veridian ;0.0163;0.0213;0.018;0.019;-0.005
RestoreOS: Restore: [ASYNC Task]  update_stockholm ;0.5128;0.5138;0.5187;0.5193;-0.001
RestoreOS: Restore: [ASYNC Task]  update_rose ;0.0308;0.0306;0.0293;0.0304;0.0002
RestoreOS: Restore: [ASYNC Task]  update_tcon ;0.0185;0.0166;0.0185;0.0188;0.0019
RestoreOS: Restore: [ASYNC Task]  update_appletcon ;0.0214;0.0201;0.0266;0.0268;0.0013
RestoreOS: Restore: [ASYNC Task]  update_orion ;0.014;0.0159;0.0189;0.018;-0.0019
RestoreOS: Restore: [ASYNC Task]  update_peppy ;0.0143;0.0169;0.0117;0.0175;-0.0026
RestoreOS: Restore: [ASYNC Task]  update_nitrogen ;0.0164;0.0166;0.0147;0.0161;-0.0002
RestoreOS: Restore: [ASYNC Task]  update_usbc ;0.0166;0.0156;0.0138;0.0146;0.001
RestoreOS: Restore: [ASYNC Task]  update_se ;5.4846;3.1574;5.5933;3.2104;2.3272
