Log Folder Path;~/Library/Application Support/PurpleRabbit/Logs/2025-08-16_22-50-04-0x1810862220011C;
RestoreOS: Restore: [ASYNC Task]  provision_mesa ;0.0139;
RestoreOS: Restore: [ASYNC Task]  restore_system_image ;1274.5161;
RestoreOS: Restore: [ASYNC Task]  update_veridian ;0.0197;
RestoreOS: Restore: [ASYNC Task]  update_stockholm ;0.5237000000000001;
RestoreOS: Restore: [ASYNC Task]  update_rose ;0.0306;
RestoreOS: Restore: [ASYNC Task]  update_tcon ;0.0176;
RestoreOS: Restore: [ASYNC Task]  update_appletcon ;0.0268;
RestoreOS: Restore: [ASYNC Task]  update_orion ;0.0176;
RestoreOS: Restore: [ASYNC Task]  update_peppy ;0.0164;
RestoreOS: Restore: [ASYNC Task]  update_nitrogen ;0.0167;
RestoreOS: Restore: [ASYNC Task]  update_usbc ;0.0122;
RestoreOS: Restore: [ASYNC Task]  update_se ;3.4562;
